id,上の句,下の句,上の句（ひらがな）,下の句（ひらがな）,ヒント
0,秋の田の かりほの庵の 苫をあらみ,わが衣手は 露にぬれつつ,あきのたの かりほのいほの とまをあらみ,わがころもでは つゆにぬれつつ,混同候補:『あき…』系（あきか など）。判定:『あきの』まで読めば確定（3音）。
1,春過ぎて 夏来にけらし 白妙の,衣干すてふ 天の香具山,はるすぎて なつきにけらし しろたへの,ころもほすてふ あまのかぐやま,混同候補:『はる…』系（はるの など）。判定:『はるす』までで確定（3音）。
2,あしびきの 山鳥の尾の しだり尾の,ながながし夜を ひとりかも寝む,あしびきの やまどりのをの しだりをの,ながながしよを ひとりかもねむ,混同候補:『あきの』『あまの』『あまつ』。判定:『あし』の2音で即決。
3,田子の浦に うち出でてみれば 白妙の,富士の高嶺に 雪は降りつつ,たごのうらに うちいでてみれば しろたへの,ふじのたかねに ゆきはふりつつ,混同候補:『たち』『たれ』『たき』。判定:『たご』の2音で確定。
4,奥山に 紅葉踏み分け 鳴く鹿の,声聞く時ぞ 秋は悲しき,おくやまに もみぢふみわけ なくしかの,こゑきくときぞ あきはかなしき,混同候補:『おほえ』『おと』『おも』。判定:『おく』の2音で確定。
5,かささぎの 渡せる橋に 置く霜の,白きを見れば夜ぞ 更けにける,かささぎの わたせるはしに おくしもの,しろきをみれば よぞふけにける,混同候補:『かぜを』『かく』『かぜそ』。判定:『かさ』の2音で確定。
6,天の原 ふりさけみれば 春日なる,三笠の山に 出でし月かも,あまのはら ふりさけみれば かすがなる,みかさのやまに いでしつきかも,混同候補:『あまつ』。判定:『あまの』までで確定（3音）。
7,わが庵は 都の辰巳　しかぞ住む,世をうぢ山と 人はいふなり,わがいほは みやこのたつみ しかぞすむ,よをうぢやまと ひとはいふなり,混同候補:『わがそ』。判定:『わがい』までで確定（3音）。
8,花の色は 移りにけりな いたづらに,わが身世にふる ながめせしまに,はなのいろは うつりにけりな いたづらに,わがみよにふる ながめせしまに,混同候補:『はなさ』。判定:『はなの』までで確定（3音）。
9,これやこの 行くも帰るも 別れては,知るも知らぬも 逢坂の関,これやこの ゆくもかへるも わかれては,しるもしらぬも あふさかのせき,混同候補:『この』『こころあ』『こひ』。判定:『これ』の2音で早決。
10,わたの原 八十島かけて 漕ぎ出でぬと,人にはつげよ 海人の釣船,わたのはら やそしまかけて こぎいでぬと,ひとにはつげよ あまのつりぶね,混同候補:『わたのはら こ』。判定:『わたのはら や』までで確定（6音）。
11,天つ風 雲の通ひ路 吹きとぢよ,乙女の姿 しばしとどめむ,あまつかぜ くものかよひぢ ふきとぢよ,をとめのすがた しばしとどめむ,混同候補:『あまの』。判定:『あまつ』までで確定（3音）。
12,筑波嶺の 峰より落つる みなの川,恋ぞつもりて 淵となりぬる,つくばねの みねよりおつる みなのがは,こひぞつもりて ふちとなりぬる,混同候補:『つき』。判定:『つく』の2音で確定。
13,陸奥の しのぶもぢずり たれゆえに,乱れそめにし われならなくに,みちのくの しのぶもぢずり たれゆゑに,みだれそめにし われならなくに,混同候補:『みかの』『みかき』『みせ』。判定:『みち』の2音で確定。
14,君がため 春の野に出でて 若菜摘む,わが衣手に 雪は降りつつ,きみがため はるののにいで てわかなつむ,わがころもでに ゆきはふりつつ,混同候補:『きみがため を』。判定:『きみがため は』までで確定（6音）。
15,立ち別れ いなばの山の 峰に生ふる,まつとし聞かば 今帰り来む,たちわかれ いなばのやまの みねにおふる,まつとしきかば いまかへりこむ,混同候補:『たご』『たれ』『たき』。判定:『たち』の2音で確定。
16,ちはやぶる 神代も聞かず 竜田川,から紅に 水くくるとは,ちはやぶる かみよもきかず たつたがは,からくれなゐに みづくくるとは,混同候補:『ちぎりき』『ちぎりお』。判定:『ちは』の2音で確定。
17,住の江の 岸に寄る波 よるさへや,夢の通ひ路 人目よくらむ,すみのえの きしによるなみ よるさへや,ゆめのかよひぢ ひとめよくらむ,混同少: 同頭ほぼなし。判定: 語頭『す』で即確定（1音）。
18,難波潟 短き葦の  ふしの間も,逢はでこの世を 過ぐしてよとや,なにはがた みじかきあしの ふしのまも,あはでこのよを すぐしてよとや,混同候補:『なにはえ』。判定:『なにはが』までで確定（4音）。
19,わびぬれば 今はた同じ 難波なる,身をつくしても 逢はむとぞ思ふ,わびぬれば いまはたおなじ なにはなる,みをつくしても あはむとぞおもふ,混同候補:『わがい』『わたのはら や』『わすら』。判定:『わび』の2音で確定。
20,今来むと いひしばかりに 長月の,有明の月を 待ち出でつるかな,いまこむと いひしばかりに ながつきの,ありあけのつきを まちいでつるかな,混同候補:『いまは』。判定:『いまこ』までで確定（3音）。
21,吹くからに 秋の草木の しをるれば,むべ山風を 嵐といふらむ,ふくからに あきのくさきの しをるれば,むべやまかぜを あらしといふらむ,混同少: 同頭ほぼなし。判定: 語頭『ふ』で即確定（1音）。
22,月見れば 千々にものこそ 悲しけれ,わが身ひとつの 秋にはあらねど,つきみれば ちぢにものこそ かなしけれ,わがみひとつの あきにはあらねど,混同候補:『つく』。判定:『つき』の2音で確定。
23,このたびは 幣もとりあへず 手向山,紅葉の錦 神のまにまに,このたびは ぬさもとりあへず たむけやま,もみぢのにしき かみのまにまに,混同候補:『これ』『こころあ』『こひ』。判定:『この』の2音で確定。
24,名にし負はば 逢坂山の さねかずら,人に知られで くるよしもがな,なにしおはば あふさかやまの さねかづら,ひとにしられで くるよしもがな,混同候補:『なにはが』『なにはえ』。判定:『なにし』までで確定（3音）。
25,小倉山 峰のもみぢ葉 心あらば,今ひとたびの みゆき待たなむ,をぐらやま みねのもみぢば こころあらば,いまひとたびの みゆきまたなむ,混同少: 同頭ほぼなし。判定: 語頭『を』で即確定（1音）。
26,みかの原 わきて流るる 泉川,いつ見きとてか 恋しかるらむ,みかのはら わきてながるる いづみがは,いつみきとてか こひしかるらむ,混同候補:『みかき』。判定:『みかの』までで確定（3音）。
27,山里は 冬ぞ寂しさ まさりける,人目も草も かれぬと思へば,やまざとは ふゆぞさびしさ まさりける,ひとめもくさも かれぬとおもへば,混同候補:『やまが』。判定:『やまざ』までで確定（3音）。
28,心あてに 折らばや折らむ 初霜の,置きまどはせる 白菊の花,こころあて にをらばやをら むはつしもの,おきまどはせる しらぎくのはな,混同候補:『こころに』。判定:『こころあ』までで確定（4音）。
29,有明の つれなく見えし 別れより,暁ばかり 憂きものはなし,ありあけの つれなくみえし わかれより,あかつきばかり うきものはなし,混同候補:『ありま』。判定:『ありあ』までで確定（3音）。
30,朝ぼらけ 有明の月と 見るまでに,吉野の里に 降れる白雪,あさぼらけ ありあけのつき とみるまでに,よしののさとに ふれるしらゆき,混同候補:『あさぼらけ う』。判定:『あさぼらけ あ』までで確定（6音）。
31,山川に 風のかけたる しがらみは,流れもあへぬ 紅葉なりけり,やまがはに かぜのかけたる しがらみは,ながれもあへぬ もみぢなりけり,混同候補:『やまざ』。判定:『やまが』までで確定（3音）。
32,ひさかたの 光のどけき 春の日に,しづ心なく 花の散るらむ,ひさかたの ひかりのどけき はるのひに,しづこころなく はなのちるらむ,混同候補:『ひとは』『ひとも』。判定:『ひさ』の2音で確定。
33,誰をかも 知る人にせむ 高砂の,松も昔の 友ならなくに,たれをかも しるひとにせむ たかさごの,まつもむかしの ともならなくに,混同候補:『たご』『たち』『たき』。判定:『たれ』の2音で確定。
34,人はいさ 心も知らず ふるさとは,花ぞ昔の 香に匂ひける,ひとはいさ こころもしらず ふるさとは,はなぞむかしの かににほひける,混同候補:『ひとも』。判定:『ひとは』までで確定（3音）。
